tp,fp,tn,fn,sensitivity,specificity,precision,f1,false_negative_rate,false_positive_rate,accuracy,held_out,rung,seed,threshold,n,positives,prevalence,auroc,auprc,mae
0,0,532,57,0.000000,1.000000,,,1.000000,0.000000,0.903226,Moldova,rung4b_spatial_cavity,0,120,589,57,0.096774,0.920459,0.538532,21.912300
0,0,532,57,0.000000,1.000000,,,1.000000,0.000000,0.903226,Moldova,rung4b_spatial_cavity,1,120,589,57,0.096774,0.914292,0.483360,20.868794
1,0,532,56,0.017544,1.000000,1.000000,0.034483,0.982456,0.000000,0.904924,Moldova,rung4b_spatial_cavity,2,120,589,57,0.096774,0.907004,0.515281,21.061614
0,0,532,57,0.000000,1.000000,,,1.000000,0.000000,0.903226,Moldova,rung4b_spatial_cavity,3,120,589,57,0.096774,0.917326,0.511548,22.384024
2,0,532,55,0.035088,1.000000,1.000000,0.067797,0.964912,0.000000,0.906621,Moldova,rung4b_spatial_cavity,4,120,589,57,0.096774,0.909643,0.501732,20.978036
0,0,217,3,0.000000,1.000000,,,1.000000,0.000000,0.986364,Romania,agentic_best_spatcav,0,120,220,3,0.013636,0.995392,0.638889,18.790477
0,0,217,3,0.000000,1.000000,,,1.000000,0.000000,0.986364,Romania,agentic_best_spatcav,1,120,220,3,0.013636,0.993856,0.588889,19.104996
0,0,217,3,0.000000,1.000000,,,1.000000,0.000000,0.986364,Romania,agentic_best_spatcav,2,120,220,3,0.013636,0.990783,0.642857,19.450294
0,0,217,3,0.000000,1.000000,,,1.000000,0.000000,0.986364,Romania,agentic_best_spatcav,3,120,220,3,0.013636,0.917051,0.241830,18.519736
0,0,217,3,0.000000,1.000000,,,1.000000,0.000000,0.986364,Romania,agentic_best_spatcav,4,120,220,3,0.013636,0.907834,0.461394,19.740486
0,0,217,3,0.000000,1.000000,,,1.000000,0.000000,0.986364,Romania,rung1_bmc,0,120,220,3,0.013636,0.984639,0.411111,19.904840
0,0,217,3,0.000000,1.000000,,,1.000000,0.000000,0.986364,Romania,rung1_bmc,1,120,220,3,0.013636,0.986175,0.402778,20.218488
1,3,214,2,0.333333,0.986175,0.250000,0.285714,0.666667,0.013825,0.977273,Romania,rung1_bmc,2,120,220,3,0.013636,0.987711,0.587302,20.323577
0,0,217,3,0.000000,1.000000,,,1.000000,0.000000,0.986364,Romania,rung1_bmc,3,120,220,3,0.013636,0.990783,0.500000,19.793577
0,0,217,3,0.000000,1.000000,,,1.000000,0.000000,0.986364,Romania,rung1_bmc,4,120,220,3,0.013636,0.987711,0.611111,20.127843
0,0,217,3,0.000000,1.000000,,,1.000000,0.000000,0.986364,Romania,rung1_mse,0,120,220,3,0.013636,0.986175,0.646465,19.139537
0,0,217,3,0.000000,1.000000,,,1.000000,0.000000,0.986364,Romania,rung1_mse,1,120,220,3,0.013636,0.983103,0.341667,19.948715
0,1,216,3,0.000000,0.995392,0.000000,,1.000000,0.004608,0.981818,Romania,rung1_mse,2,120,220,3,0.013636,0.984639,0.433333,21.499643
0,0,217,3,0.000000,1.000000,,,1.000000,0.000000,0.986364,Romania,rung1_mse,3,120,220,3,0.013636,0.989247,0.513889,18.804351
0,0,217,3,0.000000,1.000000,,,1.000000,0.000000,0.986364,Romania,rung1_mse,4,120,220,3,0.013636,0.992320,0.666667,19.775812
0,0,217,3,0.000000,1.000000,,,1.000000,0.000000,0.986364,Romania,rung4b_spatial_cavity,0,120,220,3,0.013636,0.990783,0.500000,18.923333
0,0,217,3,0.000000,1.000000,,,1.000000,0.000000,0.986364,Romania,rung4b_spatial_cavity,1,120,220,3,0.013636,0.990783,0.531746,19.322699
1,1,216,2,0.333333,0.995392,0.500000,0.400000,0.666667,0.004608,0.986364,Romania,rung4b_spatial_cavity,2,120,220,3,0.013636,0.989247,0.609524,19.695998
0,0,217,3,0.000000,1.000000,,,1.000000,0.000000,0.986364,Romania,rung4b_spatial_cavity,3,120,220,3,0.013636,0.913978,0.318182,19.358396
0,0,217,3,0.000000,1.000000,,,1.000000,0.000000,0.986364,Romania,rung4b_spatial_cavity,4,120,220,3,0.013636,0.900154,0.432796,19.837673
9,34,1257,16,0.360000,0.973664,0.209302,0.264706,0.640000,0.026336,0.962006,Ukraine,agentic_best_spatcav,0,120,1316,25,0.018997,0.936390,0.184136,22.239048
8,37,1254,17,0.320000,0.971340,0.177778,0.228571,0.680000,0.028660,0.958967,Ukraine,agentic_best_spatcav,1,120,1316,25,0.018997,0.928149,0.173996,23.276616
6,24,1267,19,0.240000,0.981410,0.200000,0.218182,0.760000,0.018590,0.967325,Ukraine,agentic_best_spatcav,2,120,1316,25,0.018997,0.931402,0.183195,22.185284
6,30,1261,19,0.240000,0.976762,0.166667,0.196721,0.760000,0.023238,0.962766,Ukraine,agentic_best_spatcav,3,120,1316,25,0.018997,0.917893,0.169597,23.046672
5,18,1273,20,0.200000,0.986057,0.217391,0.208333,0.800000,0.013943,0.971125,Ukraine,agentic_best_spatcav,4,120,1316,25,0.018997,0.931960,0.191263,23.392768
12,54,1237,13,0.480000,0.958172,0.181818,0.263736,0.520000,0.041828,0.949088,Ukraine,rung1_bmc,0,120,1316,25,0.018997,0.916282,0.172640,24.465529
14,65,1226,11,0.560000,0.949651,0.177215,0.269231,0.440000,0.050349,0.942249,Ukraine,rung1_bmc,1,120,1316,25,0.018997,0.922076,0.171813,25.004825
12,47,1244,13,0.480000,0.963594,0.203390,0.285714,0.520000,0.036406,0.954407,Ukraine,rung1_bmc,2,120,1316,25,0.018997,0.926290,0.191957,23.367798
8,40,1251,17,0.320000,0.969016,0.166667,0.219178,0.680000,0.030984,0.956687,Ukraine,rung1_bmc,3,120,1316,25,0.018997,0.913679,0.173533,23.753597
8,31,1260,17,0.320000,0.975988,0.205128,0.250000,0.680000,0.024012,0.963526,Ukraine,rung1_bmc,4,120,1316,25,0.018997,0.924028,0.187416,22.973670
4,14,1277,21,0.160000,0.989156,0.222222,0.186047,0.840000,0.010844,0.973404,Ukraine,rung1_mse,0,120,1316,25,0.018997,0.925577,0.186414,22.931435
2,7,1284,23,0.080000,0.994578,0.222222,0.117647,0.920000,0.005422,0.977204,Ukraine,rung1_mse,1,120,1316,25,0.018997,0.926569,0.190213,21.838958
10,49,1242,15,0.400000,0.962045,0.169492,0.238095,0.600000,0.037955,0.951368,Ukraine,rung1_mse,2,120,1316,25,0.018997,0.922169,0.181378,24.402855
12,60,1231,13,0.480000,0.953524,0.166667,0.247423,0.520000,0.046476,0.944529,Ukraine,rung1_mse,3,120,1316,25,0.018997,0.921053,0.167304,26.170119
